program_type,year,metric_type,place_name,state,count,rate_per_million,rank_note,source_name,source_url,last_verified,notes
Olympic,2024,top_state_by_count,California,,120,,Top five states by Olympic roster count,U.S. Census Hometown Heroes article,https://www.census.gov/library/stories/2024/07/2024-olympic-team.html,2026-04-30,Aggregate only.
Olympic,2024,top_state_by_count,Florida,,42,,Top five states by Olympic roster count,U.S. Census Hometown Heroes article,https://www.census.gov/library/stories/2024/07/2024-olympic-team.html,2026-04-30,Aggregate only.
Olympic,2024,top_state_by_count,Texas,,41,,Top five states by Olympic roster count,U.S. Census Hometown Heroes article,https://www.census.gov/library/stories/2024/07/2024-olympic-team.html,2026-04-30,Aggregate only.
Olympic,2024,top_state_by_count,Illinois,,27,,Top five states by Olympic roster count,U.S. Census Hometown Heroes article,https://www.census.gov/library/stories/2024/07/2024-olympic-team.html,2026-04-30,Aggregate only.
Olympic,2024,top_state_by_count,Pennsylvania,,27,,Top five states by Olympic roster count,U.S. Census Hometown Heroes article,https://www.census.gov/library/stories/2024/07/2024-olympic-team.html,2026-04-30,Aggregate only.
Olympic,2024,top_state_by_per_capita,Vermont,,,4.63,Top five states by Olympians per million residents,U.S. Census Hometown Heroes article,https://www.census.gov/library/stories/2024/07/2024-olympic-team.html,2026-04-30,Uses Census Vintage 2023 population estimates per source.
Olympic,2024,top_state_by_per_capita,Colorado,,,4.42,Top five states by Olympians per million residents,U.S. Census Hometown Heroes article,https://www.census.gov/library/stories/2024/07/2024-olympic-team.html,2026-04-30,Uses Census Vintage 2023 population estimates per source.
Olympic,2024,top_state_by_per_capita,Montana,,,3.53,Top five states by Olympians per million residents,U.S. Census Hometown Heroes article,https://www.census.gov/library/stories/2024/07/2024-olympic-team.html,2026-04-30,Uses Census Vintage 2023 population estimates per source.
Olympic,2024,top_state_by_per_capita,Hawaii,,,3.48,Top five states by Olympians per million residents,U.S. Census Hometown Heroes article,https://www.census.gov/library/stories/2024/07/2024-olympic-team.html,2026-04-30,Uses Census Vintage 2023 population estimates per source.
Olympic,2024,top_state_by_per_capita,California,,,3.07,Top five states by Olympians per million residents,U.S. Census Hometown Heroes article,https://www.census.gov/library/stories/2024/07/2024-olympic-team.html,2026-04-30,Uses Census Vintage 2023 population estimates per source.
Olympic,2024,top_city_by_count,San Diego,CA,11,,Cities sending five or more Olympians,U.S. Census Hometown Heroes article,https://www.census.gov/library/stories/2024/07/2024-olympic-team.html,2026-04-30,Aggregate only.
Olympic,2024,top_city_by_count,Houston,TX,10,,Cities sending five or more Olympians,U.S. Census Hometown Heroes article,https://www.census.gov/library/stories/2024/07/2024-olympic-team.html,2026-04-30,Aggregate only.
Olympic,2024,top_city_by_count,Los Angeles,CA,9,,Cities sending five or more Olympians,U.S. Census Hometown Heroes article,https://www.census.gov/library/stories/2024/07/2024-olympic-team.html,2026-04-30,Aggregate only.
Olympic,2024,top_city_by_count,Atlanta,GA,6,,Cities sending five or more Olympians,U.S. Census Hometown Heroes article,https://www.census.gov/library/stories/2024/07/2024-olympic-team.html,2026-04-30,Aggregate only.
Olympic,2024,top_city_by_count,Chicago,IL,6,,Cities sending five or more Olympians,U.S. Census Hometown Heroes article,https://www.census.gov/library/stories/2024/07/2024-olympic-team.html,2026-04-30,Aggregate only.
Olympic,2024,top_city_by_count,Miami,FL,6,,Cities sending five or more Olympians,U.S. Census Hometown Heroes article,https://www.census.gov/library/stories/2024/07/2024-olympic-team.html,2026-04-30,Aggregate only.
Olympic,2024,top_city_by_count,Charlotte,NC,5,,Cities sending five or more Olympians,U.S. Census Hometown Heroes article,https://www.census.gov/library/stories/2024/07/2024-olympic-team.html,2026-04-30,Aggregate only.
Olympic,2024,top_city_by_count,Las Vegas,NV,5,,Cities sending five or more Olympians,U.S. Census Hometown Heroes article,https://www.census.gov/library/stories/2024/07/2024-olympic-team.html,2026-04-30,Aggregate only.
Olympic,2024,top_city_by_count,Long Beach,CA,5,,Cities sending five or more Olympians,U.S. Census Hometown Heroes article,https://www.census.gov/library/stories/2024/07/2024-olympic-team.html,2026-04-30,Aggregate only.
Olympic,2024,top_city_by_count,San Jose,CA,5,,Cities sending five or more Olympians,U.S. Census Hometown Heroes article,https://www.census.gov/library/stories/2024/07/2024-olympic-team.html,2026-04-30,Aggregate only.
Olympic,2024,top_city_by_per_capita,Miami,FL,,13.16,Highest per capita among listed 10 top Olympic hometown cities,U.S. Census Hometown Heroes article,https://www.census.gov/library/stories/2024/07/2024-olympic-team.html,2026-04-30,Aggregate only.
Olympic,2024,top_city_by_per_capita,Atlanta,GA,,11.74,Highest per capita among listed 10 top Olympic hometown cities,U.S. Census Hometown Heroes article,https://www.census.gov/library/stories/2024/07/2024-olympic-team.html,2026-04-30,Aggregate only.
Olympic,2024,top_city_by_per_capita,Long Beach,CA,,11.12,Highest per capita among listed 10 top Olympic hometown cities,U.S. Census Hometown Heroes article,https://www.census.gov/library/stories/2024/07/2024-olympic-team.html,2026-04-30,Aggregate only.
Paralympic,2024,top_state_by_count,California,,27,,Top five states by Paralympic roster count,USOPC 2024 U.S. Paralympic Team announcement,https://www.usopc.org/news/2024/august/19/united-states-olympic-paralympic-committee-reveals-225-member-2024-u-s-paralympic-team,2026-04-30,Aggregate only.
Paralympic,2024,top_state_by_count,Illinois,,14,,Top five states by Paralympic roster count,USOPC 2024 U.S. Paralympic Team announcement,https://www.usopc.org/news/2024/august/19/united-states-olympic-paralympic-committee-reveals-225-member-2024-u-s-paralympic-team,2026-04-30,Aggregate only.
Paralympic,2024,top_state_by_count,Texas,,12,,Top five states by Paralympic roster count,USOPC 2024 U.S. Paralympic Team announcement,https://www.usopc.org/news/2024/august/19/united-states-olympic-paralympic-committee-reveals-225-member-2024-u-s-paralympic-team,2026-04-30,Aggregate only.
Paralympic,2024,top_state_by_count,Pennsylvania,,11,,Top five states by Paralympic roster count,USOPC 2024 U.S. Paralympic Team announcement,https://www.usopc.org/news/2024/august/19/united-states-olympic-paralympic-committee-reveals-225-member-2024-u-s-paralympic-team,2026-04-30,Aggregate only.
Paralympic,2024,top_state_by_count,Washington,,11,,Top five states by Paralympic roster count,USOPC 2024 U.S. Paralympic Team announcement,https://www.usopc.org/news/2024/august/19/united-states-olympic-paralympic-committee-reveals-225-member-2024-u-s-paralympic-team,2026-04-30,Aggregate only.
