program_type,year,sport,gold,silver,bronze,total,source_name,source_url,last_verified,nil_safe,notes
Olympic,2024,Track and Field,14,11,9,34,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Swimming,8,13,7,28,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Gymnastics - Artistic,3,1,5,9,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Wrestling - Freestyle,2,2,3,7,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Shooting,1,3,1,5,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Fencing,2,1,1,4,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Skateboarding,0,2,1,3,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Basketball,2,0,0,2,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Cycling - Track,2,0,0,2,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Cycling - Road,1,0,1,2,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Rowing,1,0,1,2,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
Olympic,2024,Weightlifting,1,0,1,2,Team USA Paris 2024 medals by sport,https://www.teamusa.com/paris-2024/olympics/medals,2026-04-30,yes,"Aggregate sport-level medal totals only. No athlete names, images, finish times, or scores included."
